experiment_id,stage,status,lab_commit,deepanalyze_source_commit,model_revision,dataset_version,tracking_url,report
phase1-upstream-smoke,phase-01,completed,d9002cc89e7d72ec1101e1e68f9684f783d74315,d14468b9ef91372359ddcd70da57e0e0f4eb0d1b,214c302cebc61ed92f9c856a3dd47a7fdc588d5f,phase1-synthetic-v1,,labs/phase-01-deployment/results/report.md
phase2-agent-loop-feedback,phase-02,completed,45be5531361096d34faf36ecae7f299354601c97,d14468b9ef91372359ddcd70da57e0e0f4eb0d1b,214c302cebc61ed92f9c856a3dd47a7fdc588d5f,phase2-controlled-feedback-v1,,labs/phase-02-agent-loop/results/report.md
phase3-ds1000-base8b,phase-03,completed,b5ff69dbef43bdb37478106bae5630c747e4c78e,d14468b9ef91372359ddcd70da57e0e0f4eb0d1b,6e8885a6ff5c1dc5201574c8fd700323f23c25fa,ds1000-e8c6daa9d7223976bce0296644f3933f78d7f47830669ff05cd61da62c6ba9b3,,labs/phase-03-evaluation/results/report.md
phase3-ds1000-deepanalyze8b,phase-03,completed,b5ff69dbef43bdb37478106bae5630c747e4c78e,d14468b9ef91372359ddcd70da57e0e0f4eb0d1b,214c302cebc61ed92f9c856a3dd47a7fdc588d5f,ds1000-e8c6daa9d7223976bce0296644f3933f78d7f47830669ff05cd61da62c6ba9b3,,labs/phase-03-evaluation/results/report.md
